gender,education,occupation,not_on_time_rate,borrow_duration,borrow_duration_label,distance,price_range,pages_range,season,name
female,others,business,0.2597402597402597,365.0,not on time,6.0112056138019945,medium,medium,winter,multnomah county library st johns
female,others,tech,0.3333333333333333,365.0,not on time,1.5365797508685488,medium,medium,spring,multnomah county library kenton
male,others,others,0.1111111111111111,365.0,not on time,11.994632084329757,medium,medium,spring,multnomah county library holgate
male,high school,blue collar,0.4,365.0,not on time,3.0308844852376358,very high,very large,spring,multnomah county library
female,high school,blue collar,0.3333333333333333,365.0,not on time,5.971633535534097,very high,large,spring,multnomah county library gregory heights
male,high school,others,0.23076923076923078,365.0,not on time,8.390079746200257,medium,medium,spring,multnomah county library kenton
male,college,business,0.5,365.0,not on time,12.952801850474666,very high,large,spring,multnomah county library central
male,high school,blue collar,0.42857142857142855,365.0,not on time,3.168022549256441,high,large,spring,multnomah county library central
male,college,sales,0.25,365.0,not on time,0.8075654844584222,very high,very large,spring,multnomah county library north portland
female,others,sales,0.2,365.0,not on time,0.8678505331183946,medium,medium,spring,multnomah county library midland
female,others,admin,0.16666666666666666,365.0,not on time,2.9325511700875575,high,large,spring,friends of the multnomah county library
male,college,admin,0.16666666666666666,365.0,not on time,2.9491010724544795,low,small,spring,multnomah county library gregory heights
female,high school,business,0.16666666666666666,365.0,not on time,2.71194904818744,medium,medium,spring,friends of the multnomah county library
female,graduate degree,blue collar,0.14285714285714285,365.0,not on time,2.686105856435442,high,medium,spring,multnomah county library kenton
female,others,tech,0.1,365.0,not on time,15.315482339113462,very high,large,spring,multnomah county library central
male,college,business,0.36363636363636365,365.0,not on time,2.8247888329593027,low,small,spring,friends of the multnomah county library
male,high school,education,0.2857142857142857,365.0,not on time,1.7899814019688798,medium,small,spring,multnomah county library north portland
female,graduate degree,admin,0.6666666666666666,365.0,not on time,5.5496171169733675,medium,large,spring,multnomah county library hollywood library
male,college,blue collar,0.8333333333333334,365.0,not on time,5.206449692337019,medium,medium,spring,multnomah county library hollywood library
female,college,business,0.2,365.0,not on time,7.906563603124348,medium,medium,spring,multnomah county library northwest
female,high school,business,0.3076923076923077,365.0,not on time,4.089721169959382,high,medium,spring,multnomah county library woodstock
